market,long profit,short profit,long wins,short wins,long losses,short losses,long uptrend size,long downtrend size,short uptrend size,short downtrend size,risk ratio tp,risk ratio sl,timeframe,long winrate,short winrate,method,date start,date end
BTCUSDT,0,1.2433035875014804,0,0,0,1,0,0,0,0,4.0,1.5,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,4.0,1.5,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,5.205373381417786,0,4,0,12,0,0,0,0,4.0,2.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-9.947090180251134,0,3,0,1,0,0,0,0,4.0,2.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,1.6508688690535471,0,0,0,1,0,0,0,0,4.0,2.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,4.0,2.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,6.09891102201186,0,5,0,11,0,0,0,0,4.0,2.5,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-9.217306949960378,0,3,0,1,0,0,0,0,4.0,2.5,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,2.0550703942047273,0,0,0,1,0,0,0,0,4.0,2.5,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,4.0,2.5,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,1.44177219633846,0,7,0,9,0,0,0,0,4.0,3.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-8.498471415052833,0,3,0,1,0,0,0,0,4.0,3.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,2.4559496349243912,0,0,0,1,0,0,0,0,4.0,3.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,4.0,3.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,2.3704121426778446,0,3,0,13,0,0,0,0,4.5,1.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-7.805431793509846,0,1,0,3,0,0,0,0,4.5,1.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0.8323323844372843,0,0,0,1,0,0,0,0,4.5,1.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,4.5,1.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,1.9378947818065004,0,4,0,12,0,0,0,0,4.5,1.5,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-6.580654079672018,0,1,0,3,0,0,0,0,4.5,1.5,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,1.2433035875014804,0,0,0,1,0,0,0,0,4.5,1.5,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,4.5,1.5,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,4.54263481134509,0,4,0,12,0,0,0,0,4.5,2.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-11.56969757055479,0,3,0,1,0,0,0,0,4.5,2.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,1.6508688690535471,0,0,0,1,0,0,0,0,4.5,2.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,4.5,2.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,5.305326083736378,0,5,0,11,0,0,0,0,4.5,2.5,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-10.839914340264032,0,3,0,1,0,0,0,0,4.5,2.5,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,2.0550703942047273,0,0,0,1,0,0,0,0,4.5,2.5,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,4.5,2.5,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0.13740183007289009,0,7,0,9,0,0,0,0,4.5,3.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-10.12107880535649,0,3,0,1,0,0,0,0,4.5,3.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,2.4559496349243912,0,0,0,1,0,0,0,0,4.5,3.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,4.5,3.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,1.9853968774484354,0,3,0,13,0,0,0,0,5.0,1.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-8.949622845639183,0,1,0,3,0,0,0,0,5.0,1.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0.8323323844372843,0,0,0,1,0,0,0,0,5.0,1.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,5.0,1.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,1.2751562117338349,0,4,0,12,0,0,0,0,5.0,1.5,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-7.724845131801357,0,1,0,3,0,0,0,0,5.0,1.5,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,1.2433035875014804,0,0,0,1,0,0,0,0,5.0,1.5,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,5.0,1.5,1d,0,0,1,5 May 2013,17 June 2021
